company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,required_skill,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
"ntt data, inc.",analytics consultant,analytics,15-20,15,17.5,20,lead (13+),noida,delhi ncr,delhi ncr,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['data analytics', 'data architecture', 'sql', 'data governance', 'jira', 'project management', 'confluence', 'data management', 'data analysis', 'business analysis', 'data warehousing', 'business intelligence', 'tableau', 'strategy consulting', 'hadoop', 'etl', 'agile methodology']",0,1,0,0,1,0,0,0,0,0,0,"['Role: Analytics Consultant', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
unknown company,data science & machine learning,aiml,3-8,3,5.5,8,mid (6–8),"gurugram, bengaluru",delhi ncr,delhi ncr,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['machine learning', 'python', 'sql', 'data science', 'artificial intelligence', 'natural language processing', 'statistical modeling', 'deep learning']",1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Machine Learning - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Sc in Any Specialization, BCA in Any Specialization, B.Tech/B.E. in Any Specialization']"
tiger analytics,data scientist,aiml,4-6,4,5.0,6,junior (3–5),"hyderabad, chennai, bengaluru",hyderabad,hyderabad,city,10-20 Lacs P.A.,10-20 lacs,10.0,15.0,20.0,15-25 LPA,"['data science', 'natural language processing', 'python']",1,0,0,0,0,0,0,0,0,0,0,"['Role: Data Scientist', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Any Specialization, Any Graduate']"
zensar,full stack data scientist,aiml,2-6,2,4.0,6,junior (3–5),pune,pune,pune,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['asr', 'training', 'architect', 'trend analysis', 'transformers', 'deployment', 'analytics', 'python']",1,0,0,0,0,0,0,0,0,0,0,"['Role: Full Stack Data Scientist', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
tredence,analytics consultant,analytics,6-9,6,7.5,9,mid (6–8),"pune, chennai, bengaluru",pune,pune,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['tableau', 'sql']",0,1,0,0,1,0,0,0,0,0,0,"['Role: Analytics Consultant', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Any Specialization']"
adecco,machine learning engineer,aiml,3-6,3,4.5,6,junior (3–5),bengaluru,bangalore,bangalore,city,12-22 Lacs P.A.,12-22 lacs,12.0,17.0,22.0,15-25 LPA,"['natural language processing', 'machine learning', 'deep learning', 'artificial intelligence', 'sql', 'aws', 'python']",1,1,0,0,0,1,0,0,0,1,0,"['Role: Machine Learning Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization, MCA in Any Specialization']"
accenture,analytics,analytics,5-10,5,7.5,10,mid (6–8),"gurugram, bengaluru, mumbai",delhi ncr,delhi ncr,city,10-17 Lacs P.A.,10-17 lacs,10.0,13.5,17.0,10-15 LPA,"['power bi', 'tableau', 'etl', 'data analysis', 'data visualization', 'data analyst']",0,0,0,1,1,0,0,0,0,0,0,"['Role: Analytics / BI Manager', 'Industry Type: Analytics / KPO / Research', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']"
mastercard,data scientist,aiml,5-9,5,7.0,9,mid (6–8),pune,pune,pune,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['python', 'predictive analytics', 'machine learning', 'hive', 'mathematics', 'predictive', 'dashboards', 'sql', 'econometrics', 'java', 'data science', 'spark', 'hadoop', 'big data', 'statistics']",1,1,0,0,0,1,0,0,1,0,1,"['Role: Data Scientist', 'Industry Type: Banking', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
crisil,analytics consultant,analytics,5-7,5,6.0,7,mid (6–8),pune,pune,pune,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['python', 'data management', 'modeling', 'data validation', 'analytical', 'bloomberg', 'investment banking', 'market data', 'root cause analysis', 'sql', 'analytics', 'rca', 'data quality', 'derivatives', 'tables', 'operations', 'data modeling', 'big data', 'financial markets', 'reporting', 'finance', 'reference data', 'governance']",1,1,0,0,0,0,0,0,0,0,0,"['Role: Analytics Consultant', 'Industry Type: Financial Services', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
unknown company,data analyst,analytics,3-6,3,4.5,6,junior (3–5),bengaluru,bangalore,bangalore,city,10-15 Lacs P.A.,10-15 lacs,10.0,12.5,15.0,10-15 LPA,"['excel', 'data analytics', 'sql', 'python', 'git', 'data analysis', 'llm', 'machine learning']",1,1,1,0,0,1,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any Specialization']"
