company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,required_skill,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
crisil,financial analyst,financial analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,"['financial analysis', 'information security', 'credit analysis', 'financial statement analysis', 'client relationship', 'stakeholder management', 'operations', 'client management', 'balance sheet', 'monitoring']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Financial Services', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: Any Graduate', 'PG: MBA/PGDM in Marketing, CA in CA']"
strydo technologies,full stack data scientist,aiml,3-6,3,4.5,6,junior (3–5),tirupati,tirupati,tirupati,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,"['deep learning', 'cyber security', 'coding', 'machine learning', 'html', 'windows', 'troubleshooting', 'matlab', 'internship', 'python']",1,0,0,0,0,1,0,0,0,0,0,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: MCA in Computers, M.Tech in Electronics/Telecommunication']"
dexter capital advisors,business analyst,business analyst,1-5,1,3.0,5,junior (3–5),"mumbai, new delhi, jaipur, bengaluru",mumbai,mumbai,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,"['financial analysis', 'security analysis', 'analysts', 'data analysis', 'administration', 'investment banking', 'research analysis', 'investment', 'business analysis', 'market analysis', 'research', 'sales', 'sql', 'excel', 'portfolio management', 'data visualization', 'financial planning', 'finance']",0,1,1,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Accounting / Auditing', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data analyst,analytics,8-10,8,9.0,10,senior (9–12),hyderabad,hyderabad,hyderabad,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,"['data modeling', 'visio', 'agile', 'data visualization', 'metadata', 'python', 'data analysis', 'data management', 'data analytics', 'business analysis', 'power bi', 'matrix', 'ehr', 'sql', 'tableau', 'access control', 'data privacy', 'acquisition', 'asset']",1,1,0,1,1,0,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Diploma in Mechanical, Any Graduate', 'PG: Any Postgraduate']"
inteliment,bi developer,analytics,2-6,2,4.0,6,junior (3–5),pune,pune,pune,city,5.5-15.5 Lacs P.A.,5.5-15.5 lacs,5.5,10.5,15.5,10-15 LPA,"['power bi', 'data modeling', 'sql', 'advanced excel', 'dashboards', 'data warehousing']",0,1,1,1,0,0,0,0,0,0,0,"['Role: BI Developer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Computers', 'PG: Master in IT Management in Any Specialization, Post Graduate Diploma in Information Technology in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Data Informatics, Maths, Computers, Cyber Security Engineering']"
amgen inc,risk analyst,risk analyst,4-7,4,5.5,7,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,"['risk management', 'presentation skills', 'incident management', 'troubleshooting', 'grc', 'it risk management', 'cyber security', 'information security', 'auditing', 'risk mitigation', 'risk analysis', 'it audit', 'risk control', 'cisa', 'sox', 'it infrastructure']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Risk Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Risk Management & Compliance', 'Employment Type: Full Time, Permanent', 'Role Category: Assessment / Advisory', 'UG: Any Graduate', 'PG: Any Postgraduate']"
university of southampton,full stack data scientist,aiml,1-4,1,2.5,4,junior (3–5),chandigarh,chandigarh tricity,chandigarh,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,"['css', 'icd', 'research', 'sql', 'data science', 'asp.net', 'logistic regression', 'reporting', 'c#', 'python', 'github', 'microsoft azure', 'sql server', 'pandas', 'tableau', 'r', 'hl7', 'delivery management', 'scrum', 'agile', 'unix', 'statistics']",1,1,0,0,1,0,1,0,0,0,1,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
merck sharp & dohme (msd),business intelligence & analytics,analytics,6-10,6,8.0,10,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,"['computer science', 'automation', 'information security', 'healthcare', 'microsoft', 'business solutions', 'operations', 'information technology', 'analytics', 'capacity planning']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Intelligence & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
merck sharp & dohme (msd),business analyst,business analyst,5-10,5,7.5,10,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,"['linux', 'analytical', 'information security', 'healthcare', 'web hosting', 'windows', 'microsoft', 'operations', 'analytics', 'sdlc']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,"['data modeling', 'visio', 'agile', 'data visualization', 'python', 'project management', 'data analytics', 'data management', 'data analysis', 'business analysis', 'machine learning', 'sql', 'r', 'java', 'devops', 'kanban', 'scrum', 'jira', 'agile methodology']",1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
webmd,business analyst,business analyst,5-8,5,6.5,8,mid (6–8),"navi mumbai, mumbai",mumbai,mumbai,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['sql', 'gap analysis', 'business analyst', 'requirement gathering', 'requirement analysis', 'business analysis']",0,1,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Sc in Data Science, Computer Technology, Artificial Intelligence and Data Science, Artificial Intelligence and Machine Learning, Computers, Computer Science, Information Science, Cyber Security, IT, Artificial Intelligence, BCA in Any Specialization, B.Tech/B.E. in Electronics/Telecommunication, Computer Science and Business System, Artificial Intelligence And Machine Learning, Computer Science Engineering, Data Science, Electronics And Communication Engineering, Information Technology, Artificial Intelligence, Computer Science, Computer Engineering, Artificial Intelligence And Data Science, Cyber Security, Computers']"
pacific global solutions,nlp,aiml,4-6,4,5.0,6,junior (3–5),ahmedabad,ahmedabad,ahmedabad,city,10-15 Lacs P.A.,10-15 lacs,10.0,12.5,15.0,10-15 LPA,"['artificial intelligence', 'natural language processing', 'machine learning', 'deep learning']",0,0,0,0,0,1,0,0,0,0,0,"['Role: NLP / DL Engineering / Architect', 'Industry Type: Software Product', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Computer Science Engineering, AIML, Data Science, Information Technology, Computer Science, Computer Engineering, Artificial Intelligence And Data Science, Cyber Security, Computers, Artificial Intelligence And Machine Learning', 'PG: MBA/PGDM in Information Technology', 'Doctorate: Ph.D/Doctorate in Computers']"
rsm us in india,financial analyst,financial analyst,2-7,2,4.5,7,junior (3–5),gurugram,delhi ncr,delhi ncr,city,10L_to_15L,10l_to_15l,10.0,12.5,15.0,10-15 LPA,"['risk management', 'project management', 'internal control', 'information security', 'visualforce', 'risk consulting', 'pivot table', 'vlookup', 'triggers', 'apex', 'salesforce', 'salesforce crm', 'it audit', 'data loader', 'ms visio', 'pci dss']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Financial Analyst', 'Industry Type: Banking', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Finance', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: MCA in Computers, MBA/PGDM in Marketing']"
cisco,risk analyst,risk analyst,2-7,2,4.5,7,junior (3–5),bengaluru,bangalore,bangalore,city,15L_to_25L,15l_to_25l,15.0,20.0,25.0,15-25 LPA,"['corporate security', 'risk analysis', 'physical security', 'cisco', 'security operations center', 'security operations', 'security management', 'cyber security', 'network security', 'arcsight', 'soc', 'ip', 'information security', 'siem', 'qradar', 'splunk', 'ids', 'security monitoring']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Risk Analyst', 'Industry Type: IT Services & Consulting', 'Department: Risk Management & Compliance', 'Employment Type: Full Time, Permanent', 'Role Category: Assessment / Advisory', 'UG: Any Graduate', 'PG: Any Postgraduate']"
cloudxtreme,business analyst,business analyst,8-13,8,10.5,13,senior (9–12),"hyderabad, pune, bengaluru",hyderabad,hyderabad,city,15L_to_25L,15l_to_25l,15.0,20.0,25.0,15-25 LPA,"['saml', 'business analysis', 'oauth', 'agile methodology', 'risk management', 'stakeholder management', 'it security']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: BPM / BPO', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Temporary/Contractual', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']"
cloudxtreme,business analyst,business analyst,9-14,9,11.5,14,senior (9–12),"kolkata, bengaluru, mumbai",kolkata,kolkata,city,15L_to_25L,15l_to_25l,15.0,20.0,25.0,15-25 LPA,"['risk management', 'business analysis', 'it security', 'agile methodology', 'excel', 'cmdb', 'stakeholder management']",0,0,1,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: BPM / BPO', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Temporary/Contractual', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']"
legato,nlp,aiml,5-8,5,6.5,8,mid (6–8),"gurugram, bengaluru",delhi ncr,delhi ncr,city,15L_to_25L,15l_to_25l,15.0,20.0,25.0,15-25 LPA,"['nlp', 'llm', 'aws', 'python', 'sql']",1,1,0,0,0,0,0,0,0,1,0,"['Role: NLP / DL Engineering / Architect', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Electronics, Applied Electronics And Instrumentation, Computer Science Engineering, Electronics And Communication, Data Science, Electronics And Communication Engineering, Artificial Intelligence, Computer Engineering, Artificial Intelligence And Data Science, Engineering Physics, Robotics And Automation, Medical Electronics, Electrical, Electronics/Telecommunication, Mechanical, Artificial Intelligence And Machine Learning, ECE, Electrical and Electronics, Information Science, Information Technology, Computer Science, Electronic And Communication Engineering, Cyber Security, Electronics And Computer Engineering, Computers, Electronics And Instrumentation Engineering, Electronics Engineering', 'PG: MCA in Any Specialization, M.Tech in Any Specialization']"
netapp,machine learning engineer,aiml,5-8,5,6.5,8,mid (6–8),bengaluru,bangalore,bangalore,city,25L_to_50L,25l_to_50l,25.0,37.5,50.0,25-50 LPA,"['fundamentals', 'continuous integration', 'cd', 'python', 'machine learning', 'artificial intelligence', 'sql', 'evaluation', 'pipeline', 'deep learning', 'system', 'data science', 'shipping', 'optimization', 'management', 'collaboration', 'aws', 'communication skills']",1,1,0,0,0,1,0,0,0,1,0,"['Role: Machine Learning Engineer', 'Industry Type: Software Product', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'PG: Any Postgraduate']"
truminds,nlp,aiml,7-10,7,8.5,10,senior (9–12),"gurugram, bengaluru",delhi ncr,delhi ncr,city,25L_to_50L,25l_to_50l,25.0,37.5,50.0,25-50 LPA,"['architecture', 'artificial intelligence', 'machine learning', 'computer vision', 'llms', 'natural language processing', 'deep learning', 'mobile application development', 'data science', 'python']",1,0,0,0,0,1,0,0,0,0,0,"['Role: NLP / DL Engineering / Architect', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Electronics/Telecommunication, Information Technology, Computers', 'PG: MCA in Computers, MS/M.Sc(Science) in Electronics & Embedded Technology, Computers, Cyber Security Engineering, M.Tech in Electronics/Telecommunication, Computers']"
kantar,data science & analytics,aiml,0-1,0,0.5,1,entry (0–2),bengaluru,bangalore,bangalore,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['advance excel', 'python', 'power bi']",1,0,1,1,0,0,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Analytics / KPO / Research', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Temporary/Contractual', 'Role Category: Data Science & Analytics - Other', 'UG: B.Tech/B.E. in Any Specialization']"
wipro,data analyst,analytics,0-3,0,1.5,3,entry (0–2),mumbai,mumbai,mumbai,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['data management', 'dashboards', 'data reporting', 'mis', 'mis development', 'hlookup', 'conditional formatting', 'macros', 'sumif', 'mis reporting', 'forecasting', 'mis generation', 'pivot table', 'vlookup', 'management information system', 'vba', 'advanced excel', 'mis operations', 'countif']",0,0,1,0,0,0,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
ey,business analyst,business analyst,0-1,0,0.5,1,entry (0–2),mumbai,mumbai,mumbai,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['assurance', 'business consulting', 'data modeling', 'risk consulting', 'agile', 'asset management', 'business strategy', 'financial services', 'performance improvement']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Accounting / Auditing', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Sc in Chemistry', 'PG: Any Postgraduate']"
pwc india,data science & machine learning,aiml,2-6,2,4.0,6,junior (3–5),"kolkata, bengaluru, delhi / ncr",kolkata,kolkata,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['artificial intelligence', 'machine learning', 'python']",1,0,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Machine Learning - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization, MBA/PGDM in Any Specialization, MCA in Any Specialization']"
teamlease digital,business analyst,business analyst,0,0,0.0,0,entry (0–2),chennai,chennai,chennai,city,"60,000-1 Lacs P.A.",60000-1 lacs,0.6,0.8,1.0,0-3 LPA,"['order to cash', 'otc', 'quote to cash', 'order processing']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: BPM / BPO', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Com in Any Specialization']"
hexaware technologies,business analyst,business analyst,1-5,1,3.0,5,junior (3–5),"noida, navi mumbai, bengaluru",delhi ncr,delhi ncr,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['as400', 'regulatory reporting', 'sql', 'workers compensation', 'compensation', 'employee relations', 'dns', 'business analysis', 'training', 'employee engagement', 'induction', 'cobol', 'active directory', 'recruitment', 'visio', 'waterfall', 'claims', 'dhcp']",0,1,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
infosys,data science & analytics,aiml,5-8,5,6.5,8,mid (6–8),"ahmedabad, delhi / ncr, mumbai",ahmedabad,ahmedabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['computer vision', 'c++', 'python']",1,0,0,0,0,0,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: B.Sc in Computers, BCA in Any Specialization, B.Tech/B.E. in Any Specialization', 'PG: MCA in Any Specialization, M.Tech in Any Specialization, MS/M.Sc(Science) in Computers']"
hexaware technologies,business analyst,business analyst,1-5,1,3.0,5,junior (3–5),"noida, navi mumbai, bengaluru",delhi ncr,delhi ncr,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['as400', 'sql', 'cobol', 'visio', 'compensation', 'tcp', 'ftp', 'vmware', 'ip', 'dns', 'business analysis', 'networking', 'wsus', 'system administration', 'active directory', 'vpn', 'waterfall', 'microsoft windows', 'installation', 'windows server', 'troubleshooting', 'exchange server', 'dhcp']",0,1,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
apexon,machine learning engineer,aiml,5-7,5,6.0,7,mid (6–8),"pune, ahmedabad, mumbai",pune,pune,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['python', 'data science', 'artificial intelligence', 'data modeling', 'machine learning', 'deep learning']",1,0,0,0,0,1,0,0,0,0,0,"['Role: Machine Learning Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate']"
bajaj finserve,analytics consultant,analytics,6-8,6,7.0,8,mid (6–8),pune,pune,pune,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['adobe analytics', 'aem']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Analytics Consultant', 'Industry Type: Analytics / KPO / Research', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.A in Any Specialization, B.Arch in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, Any Graduate']"
infosys,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),"hyderabad, pune, mumbai",hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['artificial intelligence', 'machine learning']",0,0,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: B.Sc in Computers, B.Tech/B.E. in Any Specialization, BCA in Computers', 'PG: MS/M.Sc(Science) in Computers, MCA in Computers, M.Tech in Any Specialization']"
infosys,data science & analytics,aiml,5-10,5,7.5,10,mid (6–8),"hyderabad, bengaluru, mumbai",hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['python', 'spark', 'sql']",1,1,0,0,0,0,0,0,1,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: B.Sc in Computers, BCA in Any Specialization, B.Tech/B.E. in Any Specialization', 'PG: MCA in Any Specialization, MS/M.Sc(Science) in Computers, M.Tech in Any Specialization']"
infosys,data science & analytics,aiml,8-11,8,9.5,11,senior (9–12),"kolkata, delhi / ncr, mumbai",kolkata,kolkata,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['python', 'spark', 'sql']",1,1,0,0,0,0,0,0,1,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: B.Sc in Computers, BCA in Any Specialization, B.Tech/B.E. in Any Specialization', 'PG: MS/M.Sc(Science) in Chemistry, MCA in Any Specialization, M.Tech in Any Specialization']"
infosys,data science & analytics,aiml,5-10,5,7.5,10,mid (6–8),"kolkata, pune, surat",kolkata,kolkata,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['informatica', 'etl informatica', 'data warehousing', 'informatica powercenter', 'sql']",0,1,0,0,0,0,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: B.Tech/B.E. in Any Specialization, BCA in Any Specialization, B.Sc in Computers', 'PG: MS/M.Sc(Science) in Computers, MCA in Any Specialization, M.Tech in Any Specialization']"
infosys,data science & analytics,aiml,5-10,5,7.5,10,mid (6–8),"kolkata, delhi / ncr, mumbai",kolkata,kolkata,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['informatica', 'etl informatica', 'data warehousing', 'informatica powercenter', 'sql']",0,1,0,0,0,0,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Computers', 'PG: MCA in Any Specialization, MS/M.Sc(Science) in Computers, M.Tech in Any Specialization']"
infosys,data science & analytics,aiml,5-10,5,7.5,10,mid (6–8),"kolkata, pune, greater noida",kolkata,kolkata,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['sas di', 'sas macros', 'sas', 'sas di studio']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: BCA in Any Specialization, B.Sc in Computers, B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Computers']"
infosys,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),"gurugram, chennai, mumbai",delhi ncr,delhi ncr,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['cognos tm1', 'cognos', 'tm1']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: B.Tech/B.E. in Any Specialization, B.Sc in Computers, BCA in Any Specialization', 'PG: MS/M.Sc(Science) in Computers, MCA in Any Specialization, M.Tech in Any Specialization']"
pwc service delivery center,business analyst,business analyst,2-7,2,4.5,7,junior (3–5),"hyderabad, chennai, bengaluru",hyderabad,hyderabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['business analyst', 'guidewire']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']"
infosys,data science & analytics,aiml,5-10,5,7.5,10,mid (6–8),"ahmedabad, delhi / ncr, mumbai",ahmedabad,ahmedabad,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['sas di', 'sas macros', 'sas', 'sas di studio']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: BCA in Any Specialization, B.Sc in Computers, B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization, MS/M.Sc(Science) in Computers, MCA in Any Specialization']"
wipro,data analyst,analytics,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['data management', 'mis generation', 'dashboards', 'mortgage', 'mis', 'hlookup', 'conditional formatting', 'macros', 'mis preparation', 'sumif', 'data analysis', 'mis reporting', 'forecasting', 'pivot table', 'vlookup', 'management information system', 'vba', 'advanced excel', 'mis operations', 'countif']",0,0,1,0,0,0,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
te connectivity,business analyst,business analyst,3-5,3,4.0,5,junior (3–5),bengaluru,bangalore,bangalore,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['power bi', 'sql', 'advanced excel', 'etl', 'sql queries', 'sap', 'supply chain', 'data validation', 'bi', 'business process analysis', 'dashboards', 'sql server', 'data quality', 'data extraction', 'procurement', 'data visualization', 'quantitative analysis']",0,1,1,1,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: Industrial Equipment / Machinery', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Production/Industrial, Any Graduate', 'PG: Any Postgraduate']"
wipro,business analyst,business analyst,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,0_to_3L,0_to_3l,0.0,1.5,3.0,0-3 LPA,"['data management', 'forecasting', 'mis generation', 'mortgage', 'mis', 'security compliance', 'project management', 'data security', 'production', 'information security', 'technology solutions', 'b1', 'kaizen', 'process audit', 'poka yoke']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']"
unknown company,data science & analytics,aiml,1-3,1,2.0,3,entry (0–2),pune,pune,pune,city,2-2.5 Lacs P.A.,2-2.5 lacs,2.0,2.25,2.5,0-3 LPA,"['image editing', 'labels']",0,0,0,0,0,0,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Analytics / KPO / Research', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate']"
