company,experiance,city,salary,job_detail,required_skill
Wipro,5 - 8 years,Bengaluru,6L_to_10L,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['data analysis', 'business strategy', 'business analysis', 'capital market', 'marketing', 'revenue generation', 'project management', 'gap analysis', 'business development', 'user stories', 'market research', 'business planning', 'business intelligence', 'sql', 'product management', 'agile']"
Amazon,4 - 9 years,Bengaluru,6L_to_10L,"['Role: Business Intelligence & Analytics - Other', 'Industry Type: Internet', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Data analysis', 'Simulation', 'Data modeling', 'Analytical', 'Data structures', 'Data quality', 'Business intelligence', 'Data mining', 'Continuous improvement', 'Operations']"
Salesforce,7 - 12 years,Hyderabad,6L_to_10L,"['Role: Analytics Consultant', 'Industry Type: Internet', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Data management', 'Talent acquisition', 'Data quality', 'Continuous improvement', 'Operations', 'Analytics', 'Data entry', 'CRM', 'SQL', 'Salesforce']"
Wipro,3 - 5 years,Bengaluru,6L_to_10L,"['Role: Analytics Consultant', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['data analysis', 'business strategy', 'business development', 'sales', 'consumer goods', 'project management', 'business analysis', 'retail sales', 'user stories', 'market research', 'business planning', 'retail', 'marketing', 'product management', 'key account management', 'agile']"
Diageo,8 - 11 years,Bengaluru,6L_to_10L,"['Role: Business Analyst', 'Industry Type: Analytics / KPO / Research', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['anaplan', 'stakeholder management', 'visio', 'data visualization', 'siebel workflows', 'siebel configuration', 'siebel scripting', 'documentation', 'bi', 'business services', 'power bi', 'business analysis', 'user stories', 'technical specifications', 'agile', 'agile methodology']"
Tesco,1 - 4 years,Bengaluru( Whitefield ),6L_to_10L,"['Role: Data Science & Machine Learning - Other', 'Industry Type: Retail', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate']","['Machine Learning', 'SQL', 'Python', 'Predictive Modeling', 'Artificial Intelligence', 'Natural Language Processing', 'Regression', 'Statistics', 'Deep Learning', 'Data Science', 'Statistical Modeling', 'Predictive Analytics']"
Wipro,5 - 8 years,Bengaluru,6L_to_10L,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['data analysis', 'business strategy', 'downstream', 'refinery', 'oil', 'project management', 'upstream', 'sap', 'protein purification', 'business analysis', 'fault rectification', 'product management', 'procurement', 'agile', 'petroleum', 'petrochemical']"
Accenture,3 - 5 years,Hyderabad,6L_to_10L,"['Role: Analytics Consultant', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['sales operations', 'data analysis', 'power bi', 'sales enablement', 'bi', 'vlookup', 'business intelligence', 'dashboards', 'sales', 'sql', 'advanced excel', 'ssrs', 'data visualization', 'macros', 'ssas', 'business analysis', 'pivot table', 'sql server', 'tableau', 'vba', 'ssis']"
Accenture,2 - 5 years,Bengaluru,6L_to_10L,"['Role: Machine Learning Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['machine learning', 'artificial intelligence', 'deep learning', 'value engineering', 'machine learning algorithms', 'image processing', 'algorithms', 'python', 'natural language processing', 'sql', 'r', 'data science', 'computer vision']"
Accenture,2 - 4 years,Hyderabad,6L_to_10L,"['Role: Data Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['bi', 'power bi', 'business intelligence', 'tableau', 'data visualization', 'vis', 'uv', 'quality control', 'analytical method development', 'dissolution', 'ftir', 'polarimeter', 'ir', 'kf titrator', 'tlc', 'hplc', 'qc', 'nmr', 'analytical instruments', 'visible spectrophotometer', 'quality assurance', 'gc']"
Accenture,5 - 10 years,Bengaluru,6L_to_10L,"['Role: Data Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['hive', 'data analytics', 'data modeling', 'spark', 'data governance', 'python', 'amazon redshift', 'data warehousing', 'microsoft azure', 'emr', 'machine learning', 'sql', 'nosql', 'amazon ec2', 'java', 'mysql', 'hadoop', 'sqoop', 'big data', 'aws', 'etl']"
Accenture,3 - 8 years,Bengaluru,6L_to_10L,"['Role: Data Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['data analytics', 'microsoft azure', 'data integration', 'hive', 'python', 'ssas', 'scala', 'data warehousing', 'data architecture', 'business intelligence', 'sql', 'data modeling', 'spark', 'hadoop', 'big data', 'ssis', 'etl']"
AMERICAN EXPRESS,1 - 5 years,Gurugram,6L_to_10L,"['Role: Analytics Consultant', 'Industry Type: Analytics / KPO / Research', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']","['Power Bi', 'Credit Risk', 'Tableau', 'SQL', 'Fraud Analytics', 'GCP', 'Python']"
Accenture,2 - 5 years,Bengaluru,6L_to_10L,"['Role: Machine Learning Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['machine learning', 'stakeholder management', 'physics', 'control system', 'matlab', 'python', 'c++', 'simulation', 'microsoft azure', 'manufacturing execution system', 'scada', 'iot', 'plm', 'r', 'gcp', 'mqtt', 'mes', 'aws']"
SUEZ,8 - 12 years,Lucknow,6L_to_10L,"['Role: Data Science & Analytics - Other', 'Industry Type: Water Treatment / Waste Management', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: B.Tech/B.E. in Computer Science Engineering, Data Science, Computer Engineering, Computers, BCA in Data Science, Computer Science', 'PG: MCA in Computers']","['Power BI', 'Data Modeling', 'Business Intelligence', 'Data Warehouse', 'Wastewater Treatment.', 'SQL', 'Data Visualization', 'ETL']"
Blend360 India,5 - 8 years,Hyderabad,6L_to_10L,"['Role: BI Developer', 'Industry Type: Advertising & Marketing', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['qlik sense', 'Business Analyst', 'Data modeling', 'Consulting', 'power bi', 'data visualization', 'Analytics', 'SQL', 'Python', 'Data extraction']"
Tech Mahindra,3 - 12 years,Bengaluru,6L_to_10L,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Application support', 'Business Analyst', 'Troubleshooting']"
EY,6 - 10 years,Thiruvananthapuram,6L_to_10L,"['Role: Business Intelligence & Analytics - Other', 'Industry Type: Accounting / Auditing', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Supply chain management', 'ERP', 'Team management', 'SAP', 'Performance management', 'Consulting', 'Presales', 'Oracle', 'Risk management', 'Analytics']"
Accenture,5 - 8 years,Chennai,6L_to_10L,"['Role: Analytics Consultant', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['com', 'general ledger accounting', 'python', 'sql', 'data analytics', 'data analysis', 'team management', 'team handling', 'business development', 'machine learning', 'strategic planning', 'service delivery', 'team leading', 'stakeholder management']"
Tata International,4 - 9 years,Ludhiana,6L_to_10L,"['Role: Business Analyst', 'Industry Type: Miscellaneous', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']","['Marketing Analytics', 'Excel', 'Data Analytics']"
Accenture,2 - 5 years,Gurugram,6L_to_10L,"['Role: Machine Learning Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['machine learning', 'artificial intelligence', 'deep learning', 'image processing', 'python', 'c++', 'natural language processing', 'neural networks', 'javascript', 'sql', 'pandas', 'r', 'java', 'data science', 'predictive modeling', 'computer vision', 'opencv']"
Innovaccer,3 - 8 years,Noida,6L_to_10L,"['Role: Data Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['python', 'presentation skills', 'sql', 'tableau', 'health management', 'data analysis', 'inform', 'sas', 'medidata rave', 'cms', 'power bi', 'clinical data management', 'patient care', 'clinical data', 'r', 'utility management', 'clinical research', 'quality improvement', 'statistics']"
Wipro,3 - 5 years,Chennai,6L_to_10L,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['data analysis', 'business strategy', 'business analysis', 'user stories', 'capital market', 'revenue generation', 'project management', 'business development', 'market research', 'business planning', 'business intelligence', 'sql', 'sales operations', 'marketing', 'product management', 'agile']"
EY,6 - 8 years,Bengaluru,6L_to_10L,"['Role: Business Analyst', 'Industry Type: Accounting / Auditing', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.B.A/ B.M.S in Management, Any Graduate', 'PG: Any Postgraduate']","['project management', 'supply chain', 'logistics management', 'purchase', 'logistics', 'demand planning', 'warehouse', 'supply', 'sourcing', 'supply chain operations', 'vendor development', 'material management', 'supply chain management', 'procurement', 'coaching', 'scm', 'inventory management']"
Accenture,5 - 10 years,Chennai,6L_to_10L,"['Role: Machine Learning Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['machine learning', 'tableau', 'machine learning algorithms', 'statistics', 'image processing', 'algorithms', 'python', 'natural language processing', 'power bi', 'artificial intelligence', 'sql', 'deep learning', 'data science', 'text mining', 'data visualization']"
Wipro,5 - 8 years,Chennai,6L_to_10L,"['Role: Analytics Consultant', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['data analysis', 'business strategy', 'business analysis', 'business development', 'user stories', 'revenue generation', 'project management', 'market research', 'business planning', 'business intelligence', 'sql', 'sales operations', 'marketing', 'product management', 'agile']"
Accenture,12 - 15 years,Noida,6L_to_10L,"['Role: Machine Learning Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['artificial intelligence', 'cloud computing', 'image processing', 'python', 'natural language processing', 'neural networks', 'machine learning', 'deep learning', 'data science', 'computer vision', 'opencv']"
Wipro,5 - 8 years,Chennai,6L_to_10L,"['Role: Analytics Consultant', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['data analysis', 'business strategy', 'business analysis', 'business development', 'sales', 'project management', 'teaching', 'user stories', 'market research', 'corporate sales', 'business intelligence', 'marketing', 'product management', 'key account management', 'agile']"
Oracle,2 - 7 years,Chennai,6L_to_10L,"['Role: Analytics Consultant', 'Industry Type: Software Product', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']","['ODI', 'PLSQL', 'OBIEE']"
Systechcorp Inc,5 - 10 years,"Mumbai, Pune",6L_to_10L,"['Role: Analytics Consultant', 'Industry Type: Software Product', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Performance tuning', 'Data analysis', 'Data modeling', 'Business analysis', 'Agile', 'QlikView', 'Troubleshooting', 'Information technology', 'Analytics']"
Yash Technologies,1 - 5 years,Hyderabad,6L_to_10L,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Business transformation', 'query', 'Javascript', 'Agile', 'SQL', 'Python']"
Lenskart,1 - 4 years,Bengaluru,6L_to_10L,"['Role: Data Science & Analytics - Other', 'Industry Type: Software Product', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: B.Tech/B.E. in Any Specialization']","['MySQL', 'MongoDB', 'Python']"
Star Union Dai ichi Life Insurance (SUD Life),4 - 6 years,Navi Mumbai,6L_to_10L,"['Role: Business Analyst', 'Industry Type: Insurance', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.B.A/ B.M.S in Any Specialization, Any Graduate']","['insurance', 'project management', 'confluence', 'data analysis', 'test scenarios', 'analytical', 'verbal communication', 'business analysis', 'uat', 'user stories', 'analysis', 'tools', 'excel', 'management', 'use cases', 'writing', 'agile', 'communication skills', 'jira', 'agile methodology']"
Chola,2 - 5 years,Hyderabad( Banjara hills ),6L_to_10L,"['Role: Business Analyst', 'Industry Type: FinTech / Payments', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']","['Software Development Life Cycle', 'BRD', 'Payment Processing', 'Business Requirements', 'Merchant Acquiring']"
Lam Research,5 - 8 years,Bengaluru,6L_to_10L,"['Role: Business Analyst', 'Industry Type: Electronic Components / Semiconductors', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Data analysis', 'Business analysis', 'Business analytics', 'Customer support', 'Data quality', 'Business intelligence', 'SQL', 'Python']"
ABB,6 - 11 years,Bengaluru,6L_to_10L,"['Role: Manager - Data Science', 'Industry Type: Industrial Equipment / Machinery', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['python', 'sql', 'gcp', 'aws', 'finance', 'data manipulation', 'mathematics', 'microsoft azure', 'machine learning', 'r', 'data modeling', 'data science', 'predictive modeling', 'product development', 'statistical modeling', 'clustering', 'statistics']"
Jaquar Group,4 - 8 years,Manesar,6L_to_10L,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Information Technology, Computers', 'PG: MCA in Computers']","['Brd', 'Srs', 'FRS', 'User Stories', 'Business Analysis', 'Gap Analysis', 'Use Cases', 'FRD']"
A S Brands Services,3 - 6 years,Noida,6-9.5 Lacs P.A.,"['Role: Machine Learning Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: B.Tech/B.E. in Computer Science Engineering, AIML, Data Science, Information Technology, Artificial Intelligence, Computer Engineering, Artificial Intelligence And Data Science, Artificial Intelligence And Machine Learning']","['Artificial Intelligence', 'Natural Language Processing', 'Machine Learning', 'Deep Learning', 'Opencv', 'GCP', 'AWS', 'Python']"
Sunbrilo Technology,2 - 4 years,Bengaluru( Koramangala ),6L_to_10L,"['Role: Data Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate']","['aws', 'Python']"
APM Terminals,4 - 8 years,Pune,6L_to_10L,"['Role: Analytics Consultant', 'Industry Type: Courier / Logistics', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Automation', 'Financial reporting', 'Performance management', 'Data modeling', 'Agile', 'Data processing', 'Business intelligence', 'SQL', 'Logistics', 'Python']"
Apex One,4 - 7 years,Bengaluru,6L_to_10L,"['Role: Business Analyst', 'Industry Type: Insurance', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']",['training management']
TIBCO,4 - 7 years,Bengaluru,6L_to_10L,"['Role: Business Analyst', 'Industry Type: Software Product', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: MBA/PGDM in Any Specialization']","['Business process', 'Business administration', 'operational support', 'Sales', 'Process improvement', 'Consulting', 'Subject matter expertise', 'Subject Matter Expert', 'Oracle', 'CRM']"
HCLTech,7 - 12 years,"Chennai, Bengaluru",6L_to_10L,"['Role: Analytics / BI Manager', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate']","['hive', 'Sas Analytics', 'Big Data', 'SQL']"
Tata Technologies,2 - 5 years,Pune,6L_to_10L,"['Role: Business Analyst', 'Industry Type: Building Material (Cement)', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['python', 'natural language processing', 'machine learning', 'javascript', 'artificial intelligence', 'sas', 'credit risk', 'documentation', 'technical support', 'technical training', 'model development', 'onboarding', 'statistical modeling', 'api', 'logistic regression', 'statistics', 'ccar']"
Iris Software,4 - 7 years,Noida,6L_to_10L,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.A, Any Graduate, B.B.A/ B.M.S in Management', 'PG: Any Postgraduate']","['software development life cycle', 'brd', 'testing methodologies', 'agile', 'jira', 'software testing', 'test cases', 'business analysis', 'user stories', 'functional testing', 'hp quality center', 'quality assurance', 'scrum', 'frd', 'requirement analysis', 'sdlc']"
Triveni Global Consulting,2 - 4 years,Ahmedabad,6L_to_10L,"['Role: Data Scientist', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Data analysis', 'GIT', 'Simulation', 'Neural networks', 'Analytical', 'Machine learning', 'JPEG', 'MVC', 'SQL', 'Python']"
ITC Infotech,4 - 8 years,Pune,6-15 Lacs P.A.,"['Role: Data Engineer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate']","['Azure', 'Apache Spark', 'ETL']"
Scatterpie Analytics,3 - 5 years,"Mumbai, Pune, Gurugram",6L_to_10L,"['Role: Data Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Any Specialization, BCA in Any Specialization, Bachelor of Science (B.Sc.) in Business Economics in Any Specialization']","['Tableau', 'SQL', 'Data Visualization']"
Ecolab Global Services,8 - 12 years,Pune,6L_to_10L,"['Role: Analytics / BI Manager', 'Industry Type: Industrial Equipment / Machinery', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['data analytics', 'power bi', 'sql', 'alteryx', 'data visualization', 'python', 'area sales management', 'data analysis', 'business management', 'mentoring', 'business development', 'business development management', 'sales', 'marketing', 'sales management', 'key account management', 'liaison']"
Iris Software,8 - 13 years,Noida,6L_to_10L,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Production/Industrial, B.A', 'PG: MCA in Computers']","['confluence', 'sql', 'agile', 'jira', 'c#', 'c++', 'sql queries', 'data analysis', 'software testing', 'credit risk', 'business analysis', 'javascript', 'sql server', 'derivatives', 'java', 'data modeling', 'asp.net', 'html', 'corporate banking', 'fixed income', 'agile methodology']"
Iris Software,5 - 10 years,Noida,6L_to_10L,"['Role: Full Stack Data Scientist', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['algorithms', 'python', 'machine learning', 'data science', 'configuration management', 'java', 'devops', 'data structures', 'software engineering', 'agile', 'aws', 'middleware']"
S&P Global Market Intelligence,5 - 8 years,Ahmedabad,6L_to_10L,"['Role: Data Scientist', 'Industry Type: Banking', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['python', 'machine learning', 'data science', 'advanced analytics', 'natural language processing', 'mathematics', 'information retrieval', 'artificial intelligence', 'sql', 'deep learning', 'open source', 'r', 'model development', 'statistics']"
UPS Supply Chain Solutions (UPS SCS),7 - 12 years,"Mumbai, Pune, Gurugram",6L_to_10L,"['Role: Data Analyst', 'Industry Type: Courier / Logistics', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['presentation skills', 'dashboards', 'sql', 'data extraction', 'data visualization', 'python', 'natural language processing', 'data warehousing', 'power bi', 'machine learning', 'r', 'data modeling', 'data science', 'gcp', 'cloud storage', 'etl']"
Priceline,4 - 5 years,Mumbai,6L_to_10L,"['Role: Business Analyst', 'Industry Type: Internet', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Data analysis', 'HCM', 'HRIS', 'Analytical', 'Data quality', 'data integrity', 'Continuous improvement', 'Operations', 'Analytics']"
Rightwalk Foundation,5 - 10 years,Mumbai,6L_to_10L,"['Role: Analytics / BI Manager', 'Industry Type: NGO / Social Services / Industry Associations', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Data management', 'MIS', 'Data collection', 'Strategic planning', 'System design', 'Data quality', 'SPSS', 'Continuous improvement', 'Technical support', 'Monitoring']"
Leading Client,5 - 7 years,Mumbai,6L_to_10L,"['Role: Analytics / BI Manager', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['R', 'IT Risk', 'Data Analytics', 'Python']"
Clearing Corporation Of India,5 - 10 years,Mumbai,6L_to_10L,"['Role: Analytics / BI Manager', 'Industry Type: Financial Services', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Production/Industrial, Any Graduate', 'PG: Any Postgraduate']","['System testing', 'Stress testing', 'Automation', 'Fixed income', 'Data collection', 'Test cases', 'Capital market', 'MATLAB', 'Macros', 'Python']"
Qualitykiosk Technologies,4 - 7 years,"Navi Mumbai, Mumbai (All Areas)( Airoli )",6-9.5 Lacs P.A.,"['Role: Business Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization, BCA in Any Specialization']","['RPA', 'Automation Tool']"
Deutsche Bahn,7 - 12 years,Mumbai,6L_to_10L,"['Role: Data Science & Machine Learning - Other', 'Industry Type: Courier / Logistics', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Construction', 'Team management', 'C', 'Compliance', 'Report writing', 'Consulting', 'Representative', 'Manager Quality Control', 'Auditing']"
Leading Client,5 - 8 years,Mumbai,6L_to_10L,"['Role: Full Stack Data Scientist', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Data Science', 'R', 'Power BI', 'Statistical Modeling', 'Data Visualization', 'Data Modeling', 'Tableau', 'Machine Learning', 'Python', 'SQL']"
Lericon Informatics,1 - 5 years,"Mumbai, Ahmedabad",6L_to_10L,"['Role: Data Science & Analytics - Other', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Fraud Detection', 'Compliance', 'Investigation', 'Data Analysis', 'Data Visualization', 'Risk Management', 'Data Integration']"
Leading Client,8 - 10 years,Mumbai,6L_to_10L,"['Role: Data Analyst', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['Data Governance', 'Data Quality', 'Cloud', 'Data Management', 'Data Modeling', 'Data Analytics']"
