company,experiance,city,salary,job_detail,required_skill
Foxconn,3 - 5 years,Bengaluru,0_to_3L,"['Role: Security Officer - Other', 'Industry Type: Electronics Manufacturing (Electronic Manufacturing Services (EMS))', 'Department: Security Services', 'Employment Type: Full Time, Permanent', 'Role Category: Security Officer', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Cyber Security', 'System Administration', 'Data Visualization', 'IT Infrastructure', 'sql']"
Naukri Hospitality Jobs,2 - 4 years,Varanasi,0_to_3L,"['Role: Security Officer - Other', 'Industry Type: Hotels & Restaurants', 'Department: Security Services', 'Employment Type: Full Time, Permanent', 'Role Category: Security Officer', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['security management', 'security operations', 'security compliance', 'emergency response', 'inspection', 'cyber security', 'fire safety', 'security training', 'information security', 'corporate security', 'vulnerability management', 'vulnerability assessment', 'physical security']"
Tapad,5 - 10 years,Hyderabad,0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Linux', 'Information security', 'SOC', 'Agile', 'Healthcare', 'Windows', 'Automotive', 'Financial services', 'Python', 'System administration']"
Leading Client,4 - 9 years,Maharashtra,0_to_3L,"['Role: Network (Support) Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: MCA in Computers']","['Network Security', 'tcp', 'security analysis', 'soc', 'ip', 'dns', 'information security', 'networking', 'ddos', 'siem', 'ssl', 'f5', 'wireshark', 'rca', 'network performance', 'capacity planning', 'firewall', 'troubleshooting', 'firmware', 'itil', 'web application firewall']"
Sigma Byte,3 - 5 years,Mumbai,0_to_3L,"['Role: Business Development Manager (BDM)', 'Industry Type: Hardware & Networking', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: BD / Pre Sales', 'UG: B.B.A/ B.M.S in Management']","['Cyber Security', 'Cloud Sales', 'it', 'Business Development Management', 'IT Sales']"
Cygnus,10 - 20 years,Hyderabad,0_to_3L,"['Role: Technical Architect', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['Cyber Security', 'Penetration Testing', 'Certified', 'IOT', 'Oscp', 'Ceh', 'Technical Specialist-']"
IBM,1 - 3 years,Mumbai,0_to_3L,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: Any Graduate', 'PG: Any Postgraduate']","['antivirus', 'vulnerability management', 'siem', 'qualys', 'cyber security', 'owasp', 'information security', 'patch management', 'vulnerability assessment', 'nessus', 'technical support', 'firewall', 'linux', 'vapt', 'penetration testing', 'ethical hacking']"
Vehere Technologies Pvt.Ltd,3 - 5 years,Mumbai (All Areas),0_to_3L,"['Role: System Administrator / Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization']","['Cyber Security', 'Onsite Support', 'Linux Support', 'Elastic Search', 'Customer Handling']"
Leading Client,2 - 6 years,Bengaluru,0_to_3L,"['Role: System Security Engineer', 'Industry Type: Recruitment / Staffing', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['digital forensics', 'reverse engineering', 'malware analysis', 'log analysis', 'c++', 'endpoint security', 'cloud security', 'cyber security', 'network security', 'arcsight', 'soc', 'information security', 'siem', 'vulnerability assessment', 'linux', 'splunk']"
Unitedlex,0 - 2 years,Gurugram,0_to_3L,"['Role: Accountant / Accounts Executive', 'Industry Type: Legal', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Accounting & Taxation', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Administration', 'System maintenance', 'Senior Analyst', 'Litigation', 'Information security management', 'Intellectual property', 'ISO 27001', 'Data analytics', 'Customer service', 'Auditing']"
Uplers,2 - 5 years,Bengaluru,0_to_3L,"['Role: Network Manager / Administrator', 'Industry Type: Courier / Logistics (Logistics Tech)', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: Any Graduate']","['Firewall', 'Network Administration', 'TCP', 'Security+', 'It Administration', 'IP', 'CCNA', 'ITIL Certified', 'comptia', 'CCNP', 'Fortinet', 'IT Security']"
WEB And Crafts,2 - 7 years,Thrissur,0_to_3L,"['Role: Application Security Engineer', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Linux', 'Testing tools', 'Coding', 'Information security', 'Application security', 'Windows', 'Information technology', 'SQL', 'Android']"
Strydo Technologies,0 - 2 years,Tirupati,0_to_3L,"['Role: Embedded Systems Engineer', 'Industry Type: Education / Training', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: M.Tech in Electronics/Telecommunication']","['Embedded C', 'cyber security', 'Coding', 'Electronics', 'HTML', 'Troubleshooting', 'ARM', 'MATLAB', 'Internship', 'Data warehousing']"
Accenture,3 - 8 years,Chennai,0_to_3L,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['it security', 'information security', 'risk governance', 'application support', 'grc', 'it risk management', 'risk management', 'risk assessment', 'data analysis', 'cyber security', 'soc', 'auditing', 'internal audit', 'it audit', 'control testing', 'enterprise risk management', 'pci dss', 'sox']"
Lyra Network,6 - 9 years,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",0_to_3L,"['Role: IT & Information Security - Other', 'Industry Type: Banking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: Any Graduate']","['Information Security', 'PCI DSS', 'Risk Assessment', 'Audit Compliance', 'GRC', 'Web Application Firewall']"
Amgen Inc,1 - 3 years,Hyderabad,0_to_3L,"['Role: System Security Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['change management', 'ansible', 'troubleshooting', 'aws', 'python', 'cyber security', 'network security', 'arcsight', 'soc', 'dynatrace', 'information security', 'microsoft azure', 'networking', 'siem', 'react.js', 'incident management', 'linux', 'comptia', 'itil']"
BPM,5 - 6 years,Bengaluru,0_to_3L,"['Role: IT & Information Security - Other', 'Industry Type: Accounting / Auditing', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: B.Sc in Any Specialization']","['SOC', 'Information Security', 'Auditing', 'ISO', 'GRC', 'Monitoring']"
Strydo Technologies,0 - 2 years,Tirupati,0_to_3L,"['Role: Design Engineer', 'Industry Type: Education / Training', 'Department: Production, Manufacturing & Engineering', 'Employment Type: Full Time, Permanent', 'Role Category: Engineering', 'UG: B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization']","['CFD', 'cyber security', 'Thermal engineering', 'Ansys', 'thermal', 'HTML', 'Mechanical design', 'Troubleshooting', 'MATLAB', 'Internship']"
Accelaero,5 - 10 years,Pune,0_to_3L,"['Role: IT Infrastructure Services - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Other Graduate']","['Email Security', 'Vapt', 'Endpoint Security', 'Web Application Firewall', 'Firewall', 'Cloud Security', 'Proxy', 'Infrastructure Security']"
ERM Placement Services,2 - 7 years,"Hyderabad, Bengaluru",0_to_3L,"['Role: Cyber Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization']",['Cloud Security']
