company,job_tittle,role_family,experiance,exp_min,exp_mid,exp_max,exp_bucket,location,primary_city,metro,location_level,salary,salary_clean,salary_min,salary_mid,salary_max,salary_bucket,skills,has_python,has_sql,has_excel,has_power_bi,has_tableau,has_machine_learning,has_pandas,has_numpy,has_spark,has_aws,has_statistics,job_detail
amgen inc,data analyst,analytics,8-10,8,9.0,10,senior (9–12),hyderabad,hyderabad,hyderabad,city,3L_to_6L,3l_to_6l,3.0,4.5,6.0,3-6 LPA,tableau,1,1,0,1,1,0,0,0,0,0,0,"['Role: Data Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: Diploma in Mechanical, Any Graduate', 'PG: Any Postgraduate']"
inteliment,bi developer,analytics,2-6,2,4.0,6,junior (3–5),pune,pune,pune,city,5.5-15.5 Lacs P.A.,5.5-15.5 lacs,5.5,10.5,15.5,10-15 LPA,power bi,0,1,1,1,0,0,0,0,0,0,0,"['Role: BI Developer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Computers', 'PG: Master in IT Management in Any Specialization, Post Graduate Diploma in Information Technology in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Data Informatics, Maths, Computers, Cyber Security Engineering']"
inteliment,bi developer,analytics,2-6,2,4.0,6,junior (3–5),pune,pune,pune,city,5.5-15.5 Lacs P.A.,5.5-15.5 lacs,5.5,10.5,15.5,10-15 LPA,data modeling,0,1,1,1,0,0,0,0,0,0,0,"['Role: BI Developer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Computers', 'PG: Master in IT Management in Any Specialization, Post Graduate Diploma in Information Technology in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Data Informatics, Maths, Computers, Cyber Security Engineering']"
inteliment,bi developer,analytics,2-6,2,4.0,6,junior (3–5),pune,pune,pune,city,5.5-15.5 Lacs P.A.,5.5-15.5 lacs,5.5,10.5,15.5,10-15 LPA,sql,0,1,1,1,0,0,0,0,0,0,0,"['Role: BI Developer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Computers', 'PG: Master in IT Management in Any Specialization, Post Graduate Diploma in Information Technology in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Data Informatics, Maths, Computers, Cyber Security Engineering']"
inteliment,bi developer,analytics,2-6,2,4.0,6,junior (3–5),pune,pune,pune,city,5.5-15.5 Lacs P.A.,5.5-15.5 lacs,5.5,10.5,15.5,10-15 LPA,excel,0,1,1,1,0,0,0,0,0,0,0,"['Role: BI Developer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Computers', 'PG: Master in IT Management in Any Specialization, Post Graduate Diploma in Information Technology in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Data Informatics, Maths, Computers, Cyber Security Engineering']"
inteliment,bi developer,analytics,2-6,2,4.0,6,junior (3–5),pune,pune,pune,city,5.5-15.5 Lacs P.A.,5.5-15.5 lacs,5.5,10.5,15.5,10-15 LPA,data warehousing,0,1,1,1,0,0,0,0,0,0,0,"['Role: BI Developer', 'Industry Type: IT Services & Consulting', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Business Intelligence & Analytics', 'UG: B.Tech/B.E. in Computers', 'PG: Master in IT Management in Any Specialization, Post Graduate Diploma in Information Technology in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Data Informatics, Maths, Computers, Cyber Security Engineering']"
university of southampton,full stack data scientist,aiml,1-4,1,2.5,4,junior (3–5),chandigarh,chandigarh tricity,chandigarh,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,sql,1,1,0,0,1,0,1,0,0,0,1,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
university of southampton,full stack data scientist,aiml,1-4,1,2.5,4,junior (3–5),chandigarh,chandigarh tricity,chandigarh,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,python,1,1,0,0,1,0,1,0,0,0,1,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
university of southampton,full stack data scientist,aiml,1-4,1,2.5,4,junior (3–5),chandigarh,chandigarh tricity,chandigarh,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,pandas,1,1,0,0,1,0,1,0,0,0,1,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
university of southampton,full stack data scientist,aiml,1-4,1,2.5,4,junior (3–5),chandigarh,chandigarh tricity,chandigarh,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,tableau,1,1,0,0,1,0,1,0,0,0,1,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
university of southampton,full stack data scientist,aiml,1-4,1,2.5,4,junior (3–5),chandigarh,chandigarh tricity,chandigarh,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,r,1,1,0,0,1,0,1,0,0,0,1,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
university of southampton,full stack data scientist,aiml,1-4,1,2.5,4,junior (3–5),chandigarh,chandigarh tricity,chandigarh,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,statistics,1,1,0,0,1,0,1,0,0,0,1,"['Role: Full Stack Data Scientist', 'Industry Type: Education / Training', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Machine Learning', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,data modeling,1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,power bi,1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,python,1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
amgen inc,data science & analytics,aiml,5-9,5,7.0,9,mid (6–8),hyderabad,hyderabad,hyderabad,city,6L_to_10L,6l_to_10l,6.0,8.0,10.0,6-10 LPA,data analytics,1,1,0,0,0,1,0,0,0,0,0,"['Role: Data Science & Analytics - Other', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Data Science & Analytics', 'Employment Type: Full Time, Permanent', 'Role Category: Data Science & Analytics - Other', 'UG: Any Graduate', 'PG: Any Postgraduate']"
