company,experiance,city,salary,job_detail,required_skill,job_tittle
amgen inc,0 - 3 years,Hyderabad,0_to_3L,"['Role: Configuration and Deployment Management', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Any Graduate, Diploma in Mechanical', 'PG: Any Postgraduate']","['cyber security', 'microsoft azure', 'it operations', 'qualys', 'risk assessment', 'python', 'owasp', 'soc', 'information security', 'networking', 'vulnerability management', 'siem', 'patch management', 'vulnerability assessment', 'nessus', 'qradar', 'powershell', 'penetration testing', 'aws']",Configuration and Deployment Management
raksha technologies,0 - 3 years,Chennai( Velachery ),0_to_3L,"['Role: IT & Information Security - Other', 'Industry Type: Hardware & Networking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: Any Graduate']","['Log Analysis', 'SOC', 'Qradar', 'Security Monitoring']",IT & Information Security
unknown company,0 - 1 years,"Pune, Bengaluru",0_to_3L,"['Role: Cyber Security', 'Industry Type: Hardware & Networking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: BCA in Any Specialization, B.Sc in Any Specialization, B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization, MCA in Any Specialization']","['Cyber Security', 'SOC', 'Penetration Testing', 'GRC', 'Security Operations']",Cyber Security
amgen inc,0 - 3 years,Hyderabad,0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate, Diploma in Mechanical', 'PG: Any Postgraduate']","['security operations', 'soc', 'linux', 'vector', 'security operations center', 'cyber security', 'network security', 'arcsight', 'ceh', 'information security', 'networking', 'siem', 'vulnerability assessment', 'nessus', 'qradar', 'security+', 'comptia']",Security Engineer
sharkstriker,0 - 1 years,Ahmedabad,0_to_3L,"['Role: Ex-Serviceman Unarmed Security Guard', 'Industry Type: IT Services & Consulting', 'Department: Security Services', 'Employment Type: Full Time, Permanent', 'Role Category: Security Officer', 'UG: Any Graduate', 'PG: Any Postgraduate']","['security analysis', 'cyber security', 'network security', 'owasp', 'arcsight', 'soc', 'ip', 'information security', 'vulnerability management', 'siem', 'vulnerability assessment', 'security audit', 'nessus', 'qradar', 'application security', 'firewall', 'ids', 'penetration testing', 'log analysis', 'nmap']",Ex
singhi & co,0 - 3 years,Kolkata,0_to_3L,"['Role: Cyber Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization, BCA in Any Specialization, Diploma in Any Specialization, B.Sc in Any Specialization']","['Cyber Security', 'IT Risk Management', 'Ceh', 'ethical hacking']",Cyber Security
connectwise,1 - 6 years,"Mumbai, Pune",0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['security analysis', 'soc', 'siem', 'linux', 'security+', 'cyber security', 'arcsight', 'ceh', 'ip', 'information security', 'dlp', 'vulnerability management', 'vulnerability assessment', 'nessus', 'qradar', 'certified ethical hacker', 'splunk', 'ids', 'security monitoring', 'security services']",Security Engineer
ti steps,0 - 2 years,"Hyderabad, Chennai, Bengaluru",1-3 Lacs P.A.,"['Role: Security Engineer / Analyst', 'Industry Type: Education / Training', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['Ethical Hacking', 'Cyber Security', 'Malware Analysis']",Security Engineer
amgen inc,0 - 3 years,Hyderabad,0_to_3L,"['Role: System Security Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate, Diploma in Mechanical', 'PG: Any Postgraduate']","['gcp', 'troubleshooting', 'information systems', 'protocols', 'aws', 'cyber security', 'arcsight', 'soc', 'information security', 'microsoft azure', 'networking', 'siem', 'vulnerability assessment', 'qradar']",System Security Engineer
indusind bank,10 years,Mumbai,1.25-1.75 Lacs P.A.,"['Role: IT Security - Other', 'Industry Type: Banking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Sc in Any Specialization']","['DSS', 'Framework', 'IT Security']",IT Security
travclan,0 - 1 years,Bengaluru,0_to_3L,"['Role: System Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Any Graduate', 'PG: Any Postgraduate']","['joining formalities', 'erp', 'hr generalist activities', 'sap', 'information technology', 'cyber security', 'training', 'cctv', 'operations', 'employee engagement', 'recruitment', 'compliance', 'vendor', 'background verification', 'onboarding', 'access control', 'communication skills']",System Analyst
capgemini,2 - 6 years,Bengaluru,0_to_3L,"['Role: System Security Engineer', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['checkpoint', 'presentation skills', 'networking', 'troubleshooting', 'fortigate', 'switching', 'network security', 'information security', 'bgp', 'siem', 'juniper', 'ccnp', 'asa', 'ospf', 'routing', 'cisco asa', 'firewall', 'srx', 'cisco', 'ccna', 'juniper routers']",System Security Engineer
naukri hospitality jobs,0 - 2 years,Varanasi,0_to_3L,"['Role: Ex-Serviceman Security Supervisor', 'Industry Type: Hotels & Restaurants', 'Department: Security Services', 'Employment Type: Full Time, Permanent', 'Role Category: Security Officer', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['security management', 'security operations', 'security compliance', 'information security', 'security audit', 'cyber security', 'fire safety', 'security training', 'corporate security', 'vulnerability management', 'vulnerability assessment', 'cctv', 'physical security']",Ex
itc infotech,3 - 5 years,Pune,0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['SIEM', 'Dlp']",Security Engineer
foxconn,3 - 5 years,Bengaluru,0_to_3L,"['Role: Security Officer - Other', 'Industry Type: Electronics Manufacturing (Electronic Manufacturing Services (EMS))', 'Department: Security Services', 'Employment Type: Full Time, Permanent', 'Role Category: Security Officer', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Cyber Security', 'System Administration', 'Data Visualization', 'IT Infrastructure', 'sql']",Security Officer
naukri hospitality jobs,2 - 4 years,Varanasi,0_to_3L,"['Role: Security Officer - Other', 'Industry Type: Hotels & Restaurants', 'Department: Security Services', 'Employment Type: Full Time, Permanent', 'Role Category: Security Officer', 'UG: Any Graduate', 'PG: Any Postgraduate', 'Doctorate: Doctorate Not Required']","['security management', 'security operations', 'security compliance', 'emergency response', 'inspection', 'cyber security', 'fire safety', 'security training', 'information security', 'corporate security', 'vulnerability management', 'vulnerability assessment', 'physical security']",Security Officer
tapad,5 - 10 years,Hyderabad,0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Linux', 'Information security', 'SOC', 'Agile', 'Healthcare', 'Windows', 'Automotive', 'Financial services', 'Python', 'System administration']",Security Engineer
unknown company,4 - 9 years,Maharashtra,0_to_3L,"['Role: Network (Support) Engineer', 'Industry Type: Recruitment / Staffing', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: MCA in Computers']","['Network Security', 'tcp', 'security analysis', 'soc', 'ip', 'dns', 'information security', 'networking', 'ddos', 'siem', 'ssl', 'f5', 'wireshark', 'rca', 'network performance', 'capacity planning', 'firewall', 'troubleshooting', 'firmware', 'itil', 'web application firewall']",Network
sigma byte,3 - 5 years,Mumbai,0_to_3L,"['Role: Business Development Manager (BDM)', 'Industry Type: Hardware & Networking', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: BD / Pre Sales', 'UG: B.B.A/ B.M.S in Management']","['Cyber Security', 'Cloud Sales', 'it', 'Business Development Management', 'IT Sales']",Business Development Manager
cygnus,10 - 20 years,Hyderabad,0_to_3L,"['Role: Technical Architect', 'Industry Type: Software Product', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['Cyber Security', 'Penetration Testing', 'Certified', 'IOT', 'Oscp', 'Ceh', 'Technical Specialist-']",Technical Architect
ibm,1 - 3 years,Mumbai,0_to_3L,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: Any Graduate', 'PG: Any Postgraduate']","['antivirus', 'vulnerability management', 'siem', 'qualys', 'cyber security', 'owasp', 'information security', 'patch management', 'vulnerability assessment', 'nessus', 'technical support', 'firewall', 'linux', 'vapt', 'penetration testing', 'ethical hacking']",IT Support
vehere technologies pvt.ltd,3 - 5 years,Mumbai (All Areas),0_to_3L,"['Role: System Administrator / Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: B.Tech/B.E. in Any Specialization, B.Sc in Any Specialization']","['Cyber Security', 'Onsite Support', 'Linux Support', 'Elastic Search', 'Customer Handling']",System Administrator
unknown company,2 - 6 years,Bengaluru,0_to_3L,"['Role: System Security Engineer', 'Industry Type: Recruitment / Staffing', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['digital forensics', 'reverse engineering', 'malware analysis', 'log analysis', 'c++', 'endpoint security', 'cloud security', 'cyber security', 'network security', 'arcsight', 'soc', 'information security', 'siem', 'vulnerability assessment', 'linux', 'splunk']",System Security Engineer
unitedlex,0 - 2 years,Gurugram,0_to_3L,"['Role: Accountant / Accounts Executive', 'Industry Type: Legal', 'Department: Finance & Accounting', 'Employment Type: Full Time, Permanent', 'Role Category: Accounting & Taxation', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Administration', 'System maintenance', 'Senior Analyst', 'Litigation', 'Information security management', 'Intellectual property', 'ISO 27001', 'Data analytics', 'Customer service', 'Auditing']",Accountant
uplers,2 - 5 years,Bengaluru,0_to_3L,"['Role: Network Manager / Administrator', 'Industry Type: Courier / Logistics (Logistics Tech)', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: IT Network', 'UG: Any Graduate']","['Firewall', 'Network Administration', 'TCP', 'Security+', 'It Administration', 'IP', 'CCNA', 'ITIL Certified', 'comptia', 'CCNP', 'Fortinet', 'IT Security']",Network Manager
web and crafts,2 - 7 years,Thrissur,0_to_3L,"['Role: Application Security Engineer', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Computer science', 'Linux', 'Testing tools', 'Coding', 'Information security', 'Application security', 'Windows', 'Information technology', 'SQL', 'Android']",Application Security Engineer
strydo technologies,0 - 2 years,Tirupati,0_to_3L,"['Role: Embedded Systems Engineer', 'Industry Type: Education / Training', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Production/Industrial', 'PG: M.Tech in Electronics/Telecommunication']","['Embedded C', 'cyber security', 'Coding', 'Electronics', 'HTML', 'Troubleshooting', 'ARM', 'MATLAB', 'Internship', 'Data warehousing']",Embedded Systems Engineer
accenture,3 - 8 years,Chennai,0_to_3L,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['it security', 'information security', 'risk governance', 'application support', 'grc', 'it risk management', 'risk management', 'risk assessment', 'data analysis', 'cyber security', 'soc', 'auditing', 'internal audit', 'it audit', 'control testing', 'enterprise risk management', 'pci dss', 'sox']",IT Support
lyra network,6 - 9 years,"Mumbai, Mumbai Suburban, Mumbai (All Areas)",0_to_3L,"['Role: IT & Information Security - Other', 'Industry Type: Banking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: Any Graduate']","['Information Security', 'PCI DSS', 'Risk Assessment', 'Audit Compliance', 'GRC', 'Web Application Firewall']",IT & Information Security
amgen inc,1 - 3 years,Hyderabad,0_to_3L,"['Role: System Security Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['change management', 'ansible', 'troubleshooting', 'aws', 'python', 'cyber security', 'network security', 'arcsight', 'soc', 'dynatrace', 'information security', 'microsoft azure', 'networking', 'siem', 'react.js', 'incident management', 'linux', 'comptia', 'itil']",System Security Engineer
bpm,5 - 6 years,Bengaluru,0_to_3L,"['Role: IT & Information Security - Other', 'Industry Type: Accounting / Auditing', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT & Information Security - Other', 'UG: B.Sc in Any Specialization']","['SOC', 'Information Security', 'Auditing', 'ISO', 'GRC', 'Monitoring']",IT & Information Security
strydo technologies,0 - 2 years,Tirupati,0_to_3L,"['Role: Design Engineer', 'Industry Type: Education / Training', 'Department: Production, Manufacturing & Engineering', 'Employment Type: Full Time, Permanent', 'Role Category: Engineering', 'UG: B.Tech/B.E. in Any Specialization', 'PG: M.Tech in Any Specialization']","['CFD', 'cyber security', 'Thermal engineering', 'Ansys', 'thermal', 'HTML', 'Mechanical design', 'Troubleshooting', 'MATLAB', 'Internship']",Design Engineer
accelaero,5 - 10 years,Pune,0_to_3L,"['Role: IT Infrastructure Services - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Other Graduate']","['Email Security', 'Vapt', 'Endpoint Security', 'Web Application Firewall', 'Firewall', 'Cloud Security', 'Proxy', 'Infrastructure Security']",IT Infrastructure Services
erm placement services,2 - 7 years,"Hyderabad, Bengaluru",0_to_3L,"['Role: Cyber Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization']",['Cloud Security'],Cyber Security
ahead,4 - 7 years,Gurugram,0_to_3L,"['Role: System Security Engineer', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['information security', 'vulnerability management', 'siem', 'log analysis', 'tcp', 'security analysis', 'network security', 'ip networking', 'soc', 'ip', 'ceh', 'networking', 'intrusion detection', 'cissp', 'firewall', 'linux', 'ids', 'troubleshooting']",System Security Engineer
ahead,8 - 10 years,Gurugram,0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['tcp', 'ip networking', 'firewall', 'linux', 'ids', 'security analysis', 'network security', 'soc', 'ceh', 'ip', 'networking', 'intrusion detection', 'cissp', 'troubleshooting']",Security Engineer
acesoft labs pvt ltd,6 - 10 years,Hyderabad,0_to_3L,"['Role: Security Architect / Consultant', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Temporary/Contractual', 'Role Category: IT Security', 'UG: Any Graduate']","['ISO 27001', 'Cissp']",Security Architect
amgen inc,5 - 9 years,Hyderabad,0_to_3L,"['Role: System Security Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['iam', 'gcp', 'troubleshooting', 'information systems', 'aws', 'information security', 'microsoft azure', 'access management', 'cissp', 'identity management', 'encryption', 'ldap', 'sailpoint', 'access control']",System Security Engineer
erm placement services,4 - 7 years,Mumbai (All Areas),0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization']","['Cloud Security', 'Application Security', 'Network Security']",Security Engineer
amgen inc,1 - 3 years,Hyderabad,0_to_3L,"['Role: Security Testing Engineer', 'Industry Type: Pharmaceutical & Life Sciences', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['security operations', 'python', 'cyber security', 'information security', 'owasp', 'simulation', 'automation testing', 'manual testing', 'test engineering', 'selenium', 'powershell', 'bash', 'penetration testing', 'testing methodologies', 'nmap']",Security Testing Engineer
accuknox,0 - 1 years,Remote,0_to_3L,"['Role: Manual Test Engineer', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Quality Assurance and Testing', 'UG: Any Graduate', 'PG: Any Postgraduate']","['System architecture', 'Stress testing', 'cloud security', 'Load testing', 'Testing tools', 'Performance testing', 'Vulnerability', 'Test cases', 'Penetration testing']",Manual Test Engineer
airtel,1 - 6 years,Delhi / NCR,0_to_3L,"['Role: Security Engineer / Analyst', 'Industry Type: Telecom / ISP', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['SOC', 'Arcsight', 'SIEM', 'Qradar', 'Splunk', 'Elastic Search', 'Security Operations Center', 'Security Monitoring']",Security Engineer
digiswitch infotech pvt ltd.,3 - 7 years,Noida( Sector 132 ),"50,000-70,000 P.A.","['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: BCA in Any Specialization, B.Tech/B.E. in Any Specialization, B.Sc in Computer Technology, Maths, Information System Management, Physics, Computers, Statistics, Physics, Chemistry, Mathematics, Electronics']","['Linux Support', 'Cyber Security', 'SIEM']",IT Support
accenture,1 - 3 years,Gurugram,0_to_3L,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['architectural design', 'enterprise mobility', 'troubleshooting', 'switching', 'tcp', 'network security', 'cyber security', 'ip', 'networking', 'network administration', 'siem', 'routing', 'system administration', 'technical support', 'firewall', 'ccna']",IT Support
accenture,2 - 7 years,Bengaluru,0_to_3L,"['Role: IT Support - Other', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['network security', 'technical support', 'firewall', 'security implementation', 'protocols', 'switching', 'security management', 'security operations', 'ecc', 'sap security', 'information security', 'sod', 'networking', 'hr security', 'authorization', 'sap bi security', 'sap grc', 'grc']",IT Support
strydo technologies,0 - 2 years,Tirupati,0_to_3L,"['Role: Full Stack Developer', 'Industry Type: Education / Training', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: MCA in Computers, M.Tech in Any Specialization']","['MS Access', 'cyber security', 'Coding', 'MySQL', 'Javascript', 'HTML', 'Windows', 'Troubleshooting', 'MATLAB', 'Internship']",Full Stack Developer
unknown company,1 - 6 years,Bengaluru,0_to_3L,"['Role: System Security Engineer', 'Industry Type: Software Product', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: MCA in Any Specialization, M.Tech in Any Specialization']","['Mobile Device Management', 'Cyber Security', 'MDM', 'Airwatch', 'Infrastructure', 'SCCM']",System Security Engineer
xiarch bharat,2 - 4 years,Gurugram,0_to_3L,"['Role: Key Account Manager', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Enterprise & B2B Sales', 'UG: B.Com in Any Specialization, B.B.A/ B.M.S in Any Specialization, Any Graduate', 'PG: MBA/PGDM in Marketing']","['Proposal Preparation', 'Service Sales', 'Sales Coordination', 'Quotation', 'Brand Promotion', 'Sales Management', 'Sales Executive Activities']",Key Account Manager
sbi general insurance,0 - 5 years,"Bengaluru, Amravati, Telangana",1.25-4.25 Lacs P.A.,"['Role: Insurance Sales / BD Manager', 'Industry Type: Insurance', 'Department: BFSI, Investments & Trading', 'Employment Type: Full Time, Permanent', 'Role Category: General Insurance', 'UG: Any Graduate']","['Insurance sales', 'Agency Sales', 'General Insurance', 'Sales', 'Agency Channel', 'Lead Generation', 'Field Sales']",Insurance Sales
netlabs global it services,1 - 3 years,Bengaluru,0_to_3L,"['Role: Sales Support & Operations - Other', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Sales Support & Operations', 'UG: Any Graduate']","['Lead Generation', 'Inside Sales', 'IT Sales', 'Cloud Sales']",Sales Support & Operations
infinity data technologies,8 - 13 years,"Pune, Bengaluru",0_to_3L,"['Role: Sales Support & Operations - Other', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Sales Support & Operations', 'UG: Any Graduate']","['MSP', 'Sales', 'Service Sales', 'SOC', 'ITSM', 'Managed Services', 'It Solution Sales', 'Cloud Sales', 'SIEM', 'Enterprise Sales']",Sales Support & Operations
guidehouse,0 - 3 years,Thiruvananthapuram,0_to_3L,"['Role: Technical Support - Non Voice', 'Industry Type: Management Consulting', 'Department: Customer Success, Service & Operations', 'Employment Type: Full Time, Permanent', 'Role Category: Non Voice', 'UG: Any Graduate', 'PG: Any Postgraduate']","['MS Office suite', 'Analytical skills', 'SAN', 'Staffing', 'Information security', 'Billing', 'HIPAA', 'US healthcare', 'Accounts receivable', 'Claims processing']",Technical Support
prudent globaltech solutions,0 - 3 years,Hyderabad,0_to_3L,"['Role: Content Creation / Writer', 'Industry Type: IT Services & Consulting', 'Department: Content, Editorial & Journalism', 'Employment Type: Full Time, Permanent', 'Role Category: Content Management (Print / Online / Electronic)', 'UG: Any Graduate', 'PG: Any Postgraduate']","['software development', 'cyber security', 'editing', 'salesforce', 'cloud computing', 'technical writing', 'data services', 'charts', 'proposal writing', 'documentation', 'content editing', 'adobe', 'graphics', 'content management', 'content writing', 'technical documentation']",Content Creation
hcltech,6 - 11 years,"Noida, Chennai",0_to_3L,"['Role: Pre Sales Consultant', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: BD / Pre Sales', 'UG: Any Graduate']","['Cyber Security', 'RFX', 'Bid Management', 'Data Center', 'Network Infrastructure', 'RFQ', 'Solutioning', 'RFP']",Pre Sales Consultant
"ntt data, inc.",1 - 2 years,Gurugram,0_to_3L,"['Role: Customer Onboarding - Non Voice', 'Industry Type: IT Services & Consulting', 'Department: Customer Success, Service & Operations', 'Employment Type: Full Time, Permanent', 'Role Category: Non Voice', 'UG: Any Graduate', 'PG: Any Postgraduate']","['customer service', 'credit card operations', 'banking operations', 'credit cards', 'finance', 'antivirus', 'arcsight', 'soc', 'ip', 'information security', 'siem', 'financial services', 'malware analysis', 'ohsas 18001', 'regulations', 'chargeback', 'sailpoint', 'ids', 'logging', 'factory act', 'esm']",Customer Onboarding
xiarch solutions,0 - 3 years,Gurugram,0_to_3L,"['Role: Business Development Executive (BDE)', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: BD / Pre Sales', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Cold calling', 'Outbound', 'cloud security', 'Consulting', 'HIPAA', 'MS Office', 'Internship', 'CRM', 'SCADA', 'Penetration testing']",Business Development Executive
protiviti india,4 - 9 years,Chennai,0_to_3L,"['Role: Security Auditor', 'Industry Type: Management Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['Risk Governance', 'IT Risk Management', 'ISO 27001', 'Business Impact Analysis', 'IT Security', 'PCI DSS', 'Cyber Security', 'Cobit', 'Itgc', 'Dlp', 'Application Security', 'Nist']",Security Auditor
ahalia finforex,2 - 3 years,"Kochi, Ernakulam",0_to_3L,"['Role: IT Support - Other', 'Industry Type: Financial Services', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: Diploma in Any Specialization, Any Graduate', 'PG: Any Postgraduate']","['IT Support', 'technical support', 'IT security', 'configuration', 'Troubleshooting', 'maintenance']",IT Support
rkit labs,6 - 11 years,Hyderabad,0_to_3L,"['Role: Software Development - Other', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Part Time, Freelance/Homebased', 'Role Category: Software Development', 'UG: Any Graduate']","['Data Science', 'Cyber Security', 'Networking', 'Power Bi', 'Artificial Intelligence', 'Devops', 'React.Js']",Software Development
oryon,0 - 3 years,"Madurai, Tiruchirapalli, Coimbatore",2-6 Lacs P.A.,"['Role: IT Support - Other', 'Industry Type: Hardware & Networking', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Support', 'UG: B.Tech/B.E. in Any Specialization', 'PG: MCA in Any Specialization, M.Tech in Any Specialization, MS/M.Sc(Science) in Any Specialization']","['Office 365', 'Mail Server', 'Web Hosting', 'CPanel', 'Linux Server', 'MCSA', 'Redhat Linux', 'LVM', 'FTP', 'DNS', 'Rackspace', 'CCNA', 'DNS Server', 'Server Support', 'IIS Server', 'WHM', 'SSH', 'Apache', 'Server Monitoring', 'SSL', 'DHCP', 'Zabbix', 'SMTP', 'POP', 'Yum', 'IMAP', 'Postfix', 'EXIM', 'Centos', 'RHEL', 'RHCE', 'IPTABLES']",IT Support
tolia industries,2 - 7 years,"Mumbai, Thane",2-4.5 Lacs P.A.,"['Role: Hardware Installation & Maintenance', 'Industry Type: Industrial Equipment / Machinery', 'Department: Engineering - Hardware & Networks', 'Employment Type: Full Time, Permanent', 'Role Category: Hardware', 'UG: Any Graduate']","['Installation', 'Hardware Networking', 'Sharepoint', 'User Support', 'Cyber Security', 'Data Protection', 'Network Installation', 'Domain Server', 'Server Configuration', 'Hardware', 'Network Administration', 'Data Security']",Hardware Installation & Maintenance
