company,experiance,city,salary,job_detail,required_skill,job_tittle
resmed,7 - 12 years,Bengaluru,10L_to_15L,"['Role: Manager Information Security', 'Industry Type: Medical Services / Hospital', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate', 'PG: Any Postgraduate']","['Information security', 'SOC', 'Agile', 'Network security', 'Healthcare', 'Risk management', 'Information technology', 'SDLC', 'Monitoring', 'Auditing']",Manager Information Security
accenture,1 - 6 years,Bengaluru,10L_to_15L,"['Role: Branch Sales Manager (B2B)', 'Industry Type: IT Services & Consulting', 'Department: Sales & Business Development', 'Employment Type: Full Time, Permanent', 'Role Category: Enterprise & B2B Sales', 'UG: Any Graduate', 'PG: Any Postgraduate']","['information security', 'business development', 'sales', 'relationship management', 'cyber security', 'network security', 'owasp', 'soc', 'networking', 'vulnerability management', 'siem', 'vulnerability assessment', 'cissp', 'application security', 'penetration testing']",Branch Sales Manager
accenture,4 - 8 years,Bengaluru,10L_to_15L,"['Role: Technical Architect', 'Industry Type: IT Services & Consulting', 'Department: Engineering - Software & QA', 'Employment Type: Full Time, Permanent', 'Role Category: Software Development', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['data modeling', 'telecom', 'bss', 'arcsight', 'soc', 'test cases', 'siem', 'docker', 'open source', 'git', 'java', 'linux', 'netconf', 'mvc', 'cisco', 'c#', 'network automation', 'cli', 'python', 'cyber security', 'information security', 'javascript', 'sql server', 'splunk']",Technical Architect
accenture,4 - 8 years,Bengaluru,10L_to_15L,"['Role: Advertising Management', 'Industry Type: IT Services & Consulting', 'Department: Marketing & Communication', 'Employment Type: Full Time, Permanent', 'Role Category: Advertising & Creative', 'UG: Any Graduate', 'PG: Any Postgraduate']","['cyber security', 'advertising', 'sales', 'marketing', 'cloud computing', 'brand building', 'network security', 'soc', 'television', 'branding', 'information security', 'business development', 'networking', 'siem', 'vulnerability assessment', 'brand management', 'promotions', 'media planning']",Advertising Management
accenture,2 - 5 years,Bengaluru,10L_to_15L,"['Role: IT Audit', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['information security', 'it audit', 'infrastructure setup', 'risk management', 'erp', 'software testing', 'hipaa', 'internal control', 'auditing', 'accounting', 'internal audit', 'nist', 'predictive modeling', 'cisa', 'pci dss', 'audit planning', 'sox', 'unix']",IT Audit
ergo technology & services,3 - 7 years,Mumbai (All Areas),10L_to_15L,"['Role: Cyber Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: Any Graduate']","['IOC', 'Cyber Security']",Cyber Security
ngi ventures,8 - 13 years,Noida,10L_to_15L,"['Role: Manager Information Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization']","['SOC', 'HIPAA', 'Information Security', 'ISO27001']",Manager Information Security
abb,10 - 15 years,Bengaluru,10L_to_15L,"['Role: IT Infrastructure Services - Other', 'Industry Type: Industrial Equipment / Machinery', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Infrastructure Services', 'UG: Any Graduate', 'PG: Any Postgraduate']","['business management', 'information security', 'regulatory compliance', 'information systems', 'service quality', 'cyber security', 'vendor contracts', 'career development', 'vulnerability assessment', 'cost optimization', 'penetration testing', 'itil foundation']",IT Infrastructure Services
bahwan cybertek,5 - 10 years,Chennai,10L_to_15L,"['Role: Manager Information Security', 'Industry Type: IT Services & Consulting', 'Department: IT & Information Security', 'Employment Type: Full Time, Permanent', 'Role Category: IT Security', 'UG: B.Tech/B.E. in Any Specialization', 'PG: Any Postgraduate']","['information security', 'cism', 'protocols', 'security operations', 'tcp', 'c++', 'access control system', 'ip', 'cryptography', 'hibernate', 'cissp', 'security audit', 'eclipse', 'java security', 'java', 'firewall', 'linux', 'j2ee', 'data structures']",Manager Information Security
cloudxtreme llc,8 - 13 years,"Kolkata, Bengaluru, Delhi / NCR",10L_to_15L,"['Role: Cyber Security', 'Industry Type: Banking', 'Department: IT & Information Security', 'Employment Type: Full Time, Temporary/Contractual', 'Role Category: IT Security', 'UG: Any Graduate']","['Data Security', 'Key Management', 'PostgreSQL', 'MSSQL', 'PKI', 'KMS', 'Cryptography']",Cyber Security
